Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
Tesla Model 3 ,420 km,"57,5 kWh",137 Wh/km,1.000 kg,108 kW,1.836 kg,"6,1 sec",500 km,€101 /km,682 L,"€40,970","€39,990","£39,990"
Kia EV3 Long Range,455 km,"78,0 kWh",171 Wh/km,1.000 kg,105 kW,1.885 kg,"7,7 sec",472 km,€91 /km,485 L,"€41,390","€41,495","£35,995"
BYD ATTO 3 ,330 km,"60,5 kWh",183 Wh/km,0 kg,73 kW,1.825 kg,"7,3 sec",325 km,€121 /km,440 L,"€37,990","€38,990","£37,195"
Tesla Model Y ,350 km,"57,5 kWh",164 Wh/km,1.600 kg,108 kW,1.984 kg,"6,9 sec",407 km,€137 /km,971 L,"€45,970","€45,990","£44,990"
Tesla Model Y Long Range Dual Motor,445 km,"75,0 kWh",169 Wh/km,1.600 kg,124 kW,2.054 kg,"5,0 sec",524 km,€126 /km,971 L,"€55,970","€52,990","£51,990"
Tesla Model 3 Long Range RWD,545 km,"75,0 kWh",138 Wh/km,1.000 kg,124 kW,1.825 kg,"5,2 sec",653 km,€87 /km,682 L,"€44,990","€45,990","£44,990"
Tesla Model 3 Long Range Dual Motor,525 km,"75,0 kWh",143 Wh/km,1.000 kg,124 kW,1.899 kg,"4,4 sec",629 km,€101 /km,682 L,"€49,990","€50,990","£49,990"
Tesla Model Y ,350 km,"57,5 kWh",164 Wh/km,1.600 kg,108 kW,1.996 kg,"5,9 sec",415 km,€137 /km,971 L,"* €45,970","* €45,990","* £44,990"
Toyota bZ4X FWD,350 km,"64,0 kWh",183 Wh/km,750 kg,100 kW,1.970 kg,"7,5 sec",384 km,€136 /km,452 L,"€47,490","€45,995","£42,860"
BYD SEALION 7 91.3 kWh AWD Excellence,435 km,"91,3 kWh",210 Wh/km,1.500 kg,165 kW,2.410 kg,"4,5 sec",497 km,€142 /km,578 L,"€58,990","€58,190","£58,990"
Tesla Model 3 ,405 km,"57,5 kWh",142 Wh/km,1.000 kg,100 kW,1.835 kg,"6,1 sec",471 km,€113 /km,649 L,"€44,668","€42,993","£42,990"
BYD DOLPHIN 60.4 kWh,350 km,"60,5 kWh",173 Wh/km,0 kg,65 kW,1.733 kg,"7,0 sec",338 km,€100 /km,345 L,"€32,990","€36,990","£30,195"
Tesla Model 3 Long Range Dual Motor,455 km,"73,5 kWh",162 Wh/km,1.000 kg,163 kW,1.931 kg,"4,6 sec",560 km,€124 /km,542 L,"€55,480","€59,995","£46,990"
Renault 5 E-Tech 52kWh 150hp,320 km,"52,0 kWh",163 Wh/km,500 kg,70 kW,1.524 kg,"8,0 sec",335 km,€101 /km,326 L,"€32,900","€32,990","£26,995"
Skoda Elroq 85,450 km,"77,0 kWh",171 Wh/km,1.000 kg,120 kW,2.119 kg,"6,6 sec",493 km,€98 /km,470 L,"€44,560","€42,990","£38,650"
MG MG4 Electric 64 kWh,360 km,"61,7 kWh",171 Wh/km,500 kg,115 kW,1.726 kg,"7,9 sec",405 km,€102 /km,363 L,"€39,990","€35,785","£29,495"
BYD SEAL 82.5 kWh AWD Excellence,445 km,"82,5 kWh",185 Wh/km,1.500 kg,100 kW,2.260 kg,"3,8 sec",472 km,€120 /km,453 L,"€50,990","€53,690","£48,695"
Zeekr 7X Long Range RWD,510 km,"94,0 kWh",184 Wh/km,2.000 kg,260 kW,2.000 kg,"6,0 sec",645 km,€112 /km,605 L,N/A,"€56,990",N/A
Renault Scenic E-Tech EV87 220hp,480 km,"87,0 kWh",181 Wh/km,1.100 kg,95 kW,1.917 kg,"7,9 sec",481 km,€100 /km,545 L,"€48,900","€47,970","£40,995"
Mercedes-Benz G 580,360 km,"116,0 kWh",322 Wh/km,0 kg,150 kW,3.085 kg,"4,7 sec",359 km,€510 /km,555 L,"€142,622","€200,303","£180,860"
BMW i4 eDrive40,515 km,"80,7 kWh",157 Wh/km,1.600 kg,131 kW,2.125 kg,"5,7 sec",584 km,€122 /km,470 L,"€59,200","€62,992","£57,890"
Volvo EX30 Single Motor ER,360 km,"64,0 kWh",178 Wh/km,1.600 kg,114 kW,1.850 kg,"5,3 sec",405 km,€118 /km,325 L,"€44,990","€39,995","£37,050"
Tesla Model 3 Standard Range Plus,350 km,"51,0 kWh",146 Wh/km,1.000 kg,105 kW,1.700 kg,"5,6 sec",421 km,€136 /km,649 L,"€45,560","€49,990","£40,990"
Volkswagen ID.4 Pro,445 km,"77,0 kWh",173 Wh/km,1.000 kg,120 kW,2.156 kg,"6,7 sec",490 km,€112 /km,543 L,"€46,335","€49,990","£46,035"
Volkswagen e-Golf ,190 km,"32,0 kWh",168 Wh/km,0 kg,39 kW,1.615 kg,"9,6 sec",178 km,€172 /km,341 L,"€31,900","€34,005","£28,075"
Tesla Model 3 Standard Range Plus,320 km,"49,0 kWh",153 Wh/km,1.000 kg,105 kW,1.684 kg,"5,6 sec",389 km,€149 /km,542 L,"€46,380","€49,995","£40,490"
Fiat Grande Panda ,260 km,"43,8 kWh",168 Wh/km,550 kg,60 kW,1.511 kg,"11,0 sec",270 km,€96 /km,361 L,"€24,990","€25,990","£20,975"
Audi e-tron 55 quattro,365 km,"86,5 kWh",237 Wh/km,1.800 kg,146 kW,2.565 kg,"5,7 sec",384 km,€212 /km,660 L,"€81,500","€66,415","£72,935"
BMW iX1 xDrive30,380 km,"64,7 kWh",170 Wh/km,1.200 kg,93 kW,2.085 kg,"5,6 sec",407 km,€147 /km,490 L,"€55,000","€57,850","£47,465"
Volkswagen ID.7 Pro S,525 km,"86,0 kWh",164 Wh/km,1.000 kg,145 kW,2.230 kg,"6,6 sec",600 km,€117 /km,532 L,"€58,985","€60,990","£55,450"
BMW iX xDrive40,360 km,"71,0 kWh",197 Wh/km,2.500 kg,102 kW,2.440 kg,"6,1 sec",388 km,€225 /km,500 L,"€77,300","€84,998","£69,905"
Mercedes-Benz EQS 450+,690 km,"118,0 kWh",171 Wh/km,750 kg,160 kW,2.515 kg,"6,2 sec",733 km,€169 /km,620 L,"€109,551","€110,905","£112,610"
Kia Niro EV ,385 km,"64,8 kWh",168 Wh/km,750 kg,70 kW,1.757 kg,"7,8 sec",365 km,€110 /km,495 L,"€45,690","€38,995","£37,295"
